id	name	description	synonyms	organism
ENSG00000108963	DPH1	diphthamide biosynthesis 1 [Source:HGNC Symbol;Acc:HGNC:3003]	["DEDSSH", "DPH1", "DPH2L", "DPH2L1", "ENTREZ:1801", "HGNC:3003", "MIM:603527", "NM_001346574", "NM_001346575", "NM_001346576", "NM_001383", "NP_001333503", "NP_001333504", "NP_001333505", "NP_001374", "NR_144474", "NR_144475", "NR_144476", "OVCA1", "diphthamide biosynthesis 1"]	NCBI:txid9606
ENSG00000109046	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	["ENTREZ:26118", "HGNC:19221", "MIM:610091", "NM_001348350", "NM_015626", "NM_134264", "NM_134265", "NP_001335279", "NP_056441", "NP_599027", "NR_145520", "SWIP1", "WD repeat and SOCS box containing 1", "WSB-1", "WSB1", "XM_005257963", "XM_017024434", "XM_017024435", "XM_017024436", "XP_005258020", "XP_016879923", "XP_016879924", "XP_016879925", "XR_001752468", "XR_001752470"]	NCBI:txid9606
ENSG00000109061	MYH1	myosin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:7567]	["ENTREZ:4619", "HEL71", "HGNC:7567", "MIM:160730", "MYH1", "MYHSA1", "MYHa", "MyHC-2X/D", "MyHC-2x", "NM_005963", "NP_005954", "XM_017024675", "XP_016880164", "myosin heavy chain 1"]	NCBI:txid9606
ENSG00000109062	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	["EBP50", "ENTREZ:9368", "HGNC:11075", "MIM:604990", "NHERF", "NHERF-1", "NHERF1", "NM_004252", "NPHLOP2", "NP_004243", "SLC9A3 regulator 1", "SLC9A3R1", "XR_002958087"]	NCBI:txid9606
ENSG00000109063	MYH3	myosin heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:7573]	["CPSFS1A", "CPSFS1B", "CPSKF1A", "CPSKF1B", "DA2A", "DA2B", "DA2B3", "DA8", "ENTREZ:4621", "HEMHC", "HGNC:7573", "MIM:160720", "MYH3", "MYHC-EMB", "MYHSE1", "NM_002470", "NP_002461", "SMHCE", "XM_011523870", "XM_011523871", "XP_011522172", "XP_011522173", "myosin heavy chain 3"]	NCBI:txid9606
ENSG00000109099	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	["CIDP", "CMT1A", "CMT1E", "DSS", "ENTREZ:5376", "GAS-3", "GAS3", "HGNC:9118", "HMSNIA", "HNPP", "MIM:601097", "NM_000304", "NM_001281455", "NM_001281456", "NM_001330143", "NM_153321", "NM_153322", "NP_000295", "NP_001268384", "NP_001268385", "NP_001317072", "NP_696996", "NP_696997", "NR_104017", "NR_104018", "PMP22", "Sp110", "XM_024450806", "XP_024306574", "peripheral myelin protein 22"]	NCBI:txid9606
ENSG00000109101	FOXN1	forkhead box N1 [Source:HGNC Symbol;Acc:HGNC:12765]	["ENTREZ:8456", "FKHL20", "FOXN1", "HGNC:12765", "MIM:600838", "NM_001369369", "NM_003593", "NP_001356298", "NP_003584", "RONU", "TIDAND", "TLIND", "WHN", "XM_011525358", "XM_011525359", "XM_011525362", "XM_011525367", "XM_011525368", "XM_011525369", "XM_011525370", "XM_017025228", "XM_017025229", "XM_017025230", "XM_017025231", "XP_011523660", "XP_011523661", "XP_011523664", "XP_011523669", "XP_011523670", "XP_011523671", "XP_011523672", "XP_016880717", "XP_016880718", "XP_016880719", "XP_016880720", "forkhead box N1"]	NCBI:txid9606
ENSG00000109103	UNC119	unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]	["ENTREZ:9094", "HGNC:12565", "HRG4", "IMD13", "MIM:604011", "NM_001330166", "NM_005148", "NM_054035", "NP_001317095", "NP_005139", "NP_473376", "POC7", "POC7A", "UNC119", "XM_011525459", "XP_011523761", "unc-119 lipid binding chaperone"]	NCBI:txid9606
ENSG00000109132	PHOX2B	paired like homeobox 2B [Source:HGNC Symbol;Acc:HGNC:9143]	["CCHS", "ENTREZ:8929", "HGNC:9143", "MIM:603851", "NBLST2", "NBPhox", "NM_003924", "NP_003915", "PHOX2B", "PMX2B", "paired like homeobox 2B"]	NCBI:txid9606
ENSG00000109163	GNRHR	gonadotropin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4421]	["ENTREZ:2798", "GNRHR", "GNRHR1", "GRHR", "HGNC:4421", "HH7", "LHRHR", "LRHR", "MIM:138850", "NM_000406", "NM_001012763", "NP_000397", "NP_001012781", "gonadotropin releasing hormone receptor"]	NCBI:txid9606
ENSG00000109320	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	["CVID12", "EBP-1", "ENTREZ:4790", "HGNC:7794", "KBF1", "MIM:164011", "NF-kB", "NF-kB1", "NF-kappa-B1", "NF-kappaB", "NF-kappabeta", "NFKB-p105", "NFKB-p50", "NFKB1", "NFkappaB", "NM_001165412", "NM_001319226", "NM_001382625", "NM_001382626", "NM_001382627", "NM_001382628", "NM_003998", "NP_001158884", "NP_001306155", "NP_001369554", "NP_001369555", "NP_001369556", "NP_001369557", "NP_003989", "XM_024454068", "XM_024454069", "XP_024309836", "XP_024309837", "nuclear factor kappa B subunit 1"]	NCBI:txid9606
ENSG00000109332	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	["E2(17)KB3", "ENTREZ:7323", "HGNC:12476", "MIM:602963", "NM_001300795", "NM_003340", "NM_181886", "NM_181887", "NM_181888", "NM_181889", "NM_181890", "NM_181891", "NM_181892", "NM_181893", "NP_001287724", "NP_003331", "NP_871615", "NP_871616", "NP_871617", "NP_871618", "NP_871619", "NP_871620", "NP_871621", "NP_871622", "UBC4/5", "UBCH5C", "UBE2D3", "XM_017008584", "XM_024454202", "XP_016864073", "XP_024309970", "ubiquitin conjugating enzyme E2 D3"]	NCBI:txid9606
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	["ENTREZ:5602", "HGNC:6872", "JNK3", "JNK3A", "MAPK10", "MIM:602897", "NM_001318067", "NM_001318068", "NM_001318069", "NM_001351624", "NM_001351625", "NM_001363657", "NM_002753", "NM_138980", "NM_138981", "NM_138982", "NP_001304996", "NP_001304997", "NP_001304998", "NP_001338553", "NP_001338554", "NP_001350586", "NP_002744", "NP_620446", "NP_620448", "PRKM10", "SAPK1b", "XM_005263129", "XM_005263130", "XM_005263131", "XM_005263135", "XM_006714268", "XM_006714269", "XM_011532117", "XM_011532118", "XM_011532120", "XM_011532121", "XM_017008420", "XM_017008422", "XM_017008423", "XM_017008427", "XM_017008428", "XM_017008429", "XM_017008430", "XM_017008432", "XM_017008433", "XM_017008434", "XM_017008435", "XM_017008436", "XM_017008437", "XM_017008441", "XM_017008445", "XM_017008447", "XM_017008448", "XM_017008449", "XM_017008450", "XM_017008451", "XM_017008452", "XM_017008453", "XM_017008454", "XM_024454139", "XM_024454140", "XM_024454141", "XM_024454142", "XM_024454143", "XM_024454144", "XM_024454145", "XM_024454146", "XM_024454147", "XM_024454148", "XM_024454149", "XP_005263186", "XP_005263187", "XP_005263188", "XP_005263192", "XP_006714331", "XP_006714332", "XP_011530419", "XP_011530420", "XP_011530422", "XP_011530423", "XP_016863909", "XP_016863911", "XP_016863912", "XP_016863916", "XP_016863917", "XP_016863918", "XP_016863919", "XP_016863921", "XP_016863922", "XP_016863923", "XP_016863924", "XP_016863925", "XP_016863926", "XP_016863930", "XP_016863934", "XP_016863936", "XP_016863937", "XP_016863938", "XP_016863939", "XP_016863940", "XP_016863941", "XP_016863942", "XP_016863943", "XP_024309907", "XP_024309908", "XP_024309909", "XP_024309910", "XP_024309911", "XP_024309912", "XP_024309913", "XP_024309914", "XP_024309915", "XP_024309916", "XP_024309917", "XR_001741289", "mitogen-activated protein kinase 10", "p493F12", "p54bSAPK"]	NCBI:txid9606
ENSG00000109472	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	["CPE", "CPH", "ENTREZ:1363", "HGNC:2303", "MIM:114855", "NM_001873", "NP_001864", "carboxypeptidase E"]	NCBI:txid9606
ENSG00000109501	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	["CTRCT41", "ENTREZ:7466", "HGNC:12762", "MIM:606201", "NM_001145853", "NM_006005", "NP_001139325", "NP_005996", "WFRS", "WFS", "WFS1", "WFSL", "XM_017008586", "XP_016864075", "wolframin ER transmembrane glycoprotein"]	NCBI:txid9606
ENSG00000109536	FRG1	FSHD region gene 1 [Source:HGNC Symbol;Acc:HGNC:3954]	["ENTREZ:2483", "FRG1", "FRG1A", "FSG1", "FSHD region gene 1", "HGNC:3954", "MIM:601278", "NM_004477", "NP_004468", "XM_017007958", "XP_016863447", "XR_002959721"]	NCBI:txid9606
ENSG00000109572	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	["CLC3", "CLCN3", "ClC-3", "ENTREZ:1182", "HGNC:2021", "MIM:600580", "NM_001243372", "NM_001243374", "NM_001829", "NM_173872", "NP_001230301", "NP_001230303", "NP_001820", "NP_776297", "XM_005262726", "XM_011531586", "XP_005262783", "XP_011529888", "chloride voltage-gated channel 3"]	NCBI:txid9606
ENSG00000109667	SLC2A9	solute carrier family 2 member 9 [Source:HGNC Symbol;Acc:HGNC:13446]	["ENTREZ:56606", "GLUT9", "GLUTX", "HGNC:13446", "MIM:606142", "NM_001001290", "NM_020041", "NP_001001290", "NP_064425", "SLC2A9", "UAQTL2", "URATv1", "XM_006713968", "XM_006713969", "XM_011513856", "XM_011513857", "XM_011513858", "XM_011513859", "XM_011513860", "XM_011513861", "XM_011513862", "XM_011513864", "XM_011513865", "XM_011513866", "XM_011513867", "XM_011513868", "XM_017008457", "XM_017008458", "XM_017008459", "XM_017008460", "XM_024454150", "XM_024454151", "XM_024454152", "XM_024454153", "XP_006714031", "XP_006714032", "XP_011512158", "XP_011512159", "XP_011512160", "XP_011512161", "XP_011512162", "XP_011512163", "XP_011512164", "XP_011512166", "XP_011512167", "XP_011512168", "XP_011512169", "XP_011512170", "XP_016863946", "XP_016863947", "XP_016863948", "XP_016863949", "XP_024309918", "XP_024309919", "XP_024309920", "XP_024309921", "XR_001741290", "XR_001741291", "XR_925341", "solute carrier family 2 member 9"]	NCBI:txid9606
ENSG00000109670	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	["AGO", "CDC4", "ENTREZ:55294", "F-box and WD repeat domain containing 7", "FBW6", "FBW7", "FBX30", "FBXO30", "FBXW6", "FBXW7", "HGNC:16712", "MIM:606278", "NM_001013415", "NM_001257069", "NM_001349798", "NM_018315", "NM_033632", "NP_001013433", "NP_001243998", "NP_001336727", "NP_060785", "NP_361014", "SEL-10", "SEL10", "XM_011532084", "XM_011532085", "XM_011532086", "XM_011532087", "XM_011532088", "XM_024454121", "XM_024454122", "XM_024454123", "XM_024454124", "XM_024454125", "XM_024454126", "XP_011530386", "XP_011530387", "XP_011530388", "XP_011530389", "XP_011530390", "XP_024309889", "XP_024309890", "XP_024309891", "XP_024309892", "XP_024309893", "XP_024309894", "hAgo", "hCdc4"]	NCBI:txid9606
ENSG00000109685	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	["ENTREZ:7468", "HGNC:12766", "KMT3F", "KMT3G", "MIM:602952", "MMSET", "NM_001042424", "NM_007331", "NM_014919", "NM_133330", "NM_133331", "NM_133332", "NM_133333", "NM_133334", "NM_133335", "NM_133336", "NP_001035889", "NP_015627", "NP_579877", "NP_579878", "NP_579889", "NP_579890", "NSD2", "REIIBP", "TRX5", "WHS", "WHSC1", "XM_005248001", "XM_005248002", "XM_005248005", "XM_006713914", "XM_011513557", "XM_011513560", "XM_017008587", "XM_017008588", "XP_005248058", "XP_005248059", "XP_005248062", "XP_006713977", "XP_011511859", "XP_011511862", "XP_016864076", "XP_016864077", "nuclear receptor binding SET domain protein 2"]	NCBI:txid9606
ENSG00000109689	STIM2	stromal interaction molecule 2 [Source:HGNC Symbol;Acc:HGNC:19205]	["ENTREZ:57620", "HGNC:19205", "MIM:610841", "NM_001169117", "NM_001169118", "NM_020860", "NP_001162588", "NP_001162589", "NP_065911", "STIM2", "stromal interaction molecule 2"]	NCBI:txid9606
ENSG00000109738	GLRB	glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]	["ENTREZ:2743", "GLRB", "HGNC:4329", "HKPX2", "MIM:138492", "NM_000824", "NM_001166060", "NM_001166061", "NP_000815", "NP_001159532", "NP_001159533", "XM_017008034", "XM_017008035", "XP_016863523", "XP_016863524", "XR_001741207", "XR_002959723", "glycine receptor beta"]	NCBI:txid9606
ENSG00000109775	UFSP2	UFM1 specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:25640]	["BHD", "C4orf20", "ENTREZ:55325", "HGNC:25640", "MIM:611482", "NM_018359", "NP_060829", "NR_028085", "NR_144317", "SEMDDR", "UFM1 specific peptidase 2", "UFSP2"]	NCBI:txid9606
ENSG00000109790	KLHL5	kelch like family member 5 [Source:HGNC Symbol;Acc:HGNC:6356]	["ENTREZ:51088", "HGNC:6356", "KLHL5", "MIM:608064", "NM_001007075", "NM_001171654", "NM_015990", "NM_199039", "NP_001007076", "NP_001165125", "NP_057074", "NP_950240", "XM_011513699", "XM_011513700", "XM_011513701", "XM_017008273", "XM_017008275", "XM_017008276", "XM_024454075", "XP_011512001", "XP_011512002", "XP_011512003", "XP_016863762", "XP_016863764", "XP_016863765", "XP_024309843", "kelch like family member 5"]	NCBI:txid9606
ENSG00000109819	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	["ENTREZ:10891", "HGNC:9237", "LEM6", "MIM:604517", "NM_001330751", "NM_001330752", "NM_001330753", "NM_001354825", "NM_001354826", "NM_001354827", "NM_001354828", "NM_013261", "NP_001317680", "NP_001317681", "NP_001317682", "NP_001341754", "NP_001341755", "NP_001341756", "NP_001341757", "NP_037393", "NR_148981", "NR_148982", "NR_148983", "NR_148984", "NR_148985", "NR_148986", "NR_148987", "PGC-1(alpha)", "PGC-1alpha", "PGC-1v", "PGC1", "PGC1A", "PPARG coactivator 1 alpha", "PPARGC1", "PPARGC1A", "XM_005248131", "XM_005248132", "XM_005248134", "XM_011513766", "XM_011513768", "XM_011513769", "XM_011513771", "XM_024453878", "XP_005248188", "XP_005248189", "XP_005248191", "XP_011512068", "XP_011512070", "XP_011512071", "XP_011512073", "XP_024309646"]	NCBI:txid9606
ENSG00000109846	CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	["CMD1II", "CRYA2", "CRYAB", "CTPP2", "CTRCT16", "ENTREZ:1410", "HEL-S-101", "HGNC:2389", "HSPB5", "MFM2", "MIM:123590", "NM_001289807", "NM_001289808", "NM_001330379", "NM_001368245", "NM_001368246", "NM_001885", "NP_001276736", "NP_001276737", "NP_001317308", "NP_001355174", "NP_001355175", "NP_001876", "crystallin alpha B"]	NCBI:txid9606
ENSG00000109861	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	["CPPI", "CTSC", "DPP-I", "DPP1", "DPPI", "ENTREZ:1075", "HGNC:2528", "HMS", "JP", "JPD", "MIM:602365", "NM_001114173", "NM_001814", "NM_148170", "NP_001107645", "NP_001805", "NP_680475", "PALS", "PDON1", "PLS", "cathepsin C"]	NCBI:txid9606
ENSG00000109881	CCDC34	coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]	["CCDC34", "ENTREZ:91057", "HGNC:25079", "L15", "MIM:612324", "NM_030771", "NM_080654", "NP_110398", "NP_542385", "NY-REN-41", "RAMA3", "coiled-coil domain containing 34"]	NCBI:txid9606
ENSG00000109906	ZBTB16	zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]	["ENTREZ:7704", "HGNC:12930", "MIM:176797", "NM_001018011", "NM_001354750", "NM_001354751", "NM_001354752", "NM_006006", "NP_001018011", "NP_001341679", "NP_001341680", "NP_001341681", "NP_005997", "PLZF", "XM_005271658", "XM_017018259", "XM_024448681", "XP_005271715", "XP_016873748", "XP_024304449", "XR_001747955", "ZBTB16", "ZNF145", "zinc finger and BTB domain containing 16"]	NCBI:txid9606
ENSG00000109917	ZPR1	ZPR1 zinc finger [Source:HGNC Symbol;Acc:HGNC:13051]	["ENTREZ:8882", "HGNC:13051", "MIM:603901", "NM_001317086", "NM_003904", "NP_001304015", "NP_003895", "XR_001748023", "ZNF259", "ZPR1 zinc finger", "ZPR1"]	NCBI:txid9606
ENSG00000109929	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	["ENTREZ:6309", "ERG3", "HGNC:10547", "MIM:602286", "NM_001024956", "NM_006918", "NP_001020127", "NP_008849", "S5DES", "SC5D", "SC5DL", "sterol-C5-desaturase"]	NCBI:txid9606
ENSG00000109971	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	["ENTREZ:3312", "HEL-33", "HEL-S-72p", "HGNC:5241", "HSC54", "HSC70", "HSC71", "HSP71", "HSP73", "HSPA10", "HSPA8", "LAP-1", "LAP1", "MIM:600816", "NIP71", "NM_006597", "NM_153201", "NP_006588", "NP_694881", "XM_011542798", "XP_011541100", "heat shock protein family A (Hsp70) member 8"]	NCBI:txid9606
ENSG00000110002	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	["BCSC-1", "BCSC1", "ENTREZ:4013", "HGNC:6658", "LOH11CR2A", "MIM:602929", "NM_001130142", "NM_014622", "NM_198315", "NP_001123614", "NP_055437", "NP_938057", "VWA5A", "XM_011542828", "XP_011541130", "von Willebrand factor A domain containing 5A"]	NCBI:txid9606
ENSG00000110060	PUS3	pseudouridine synthase 3 [Source:HGNC Symbol;Acc:HGNC:25461]	["2610020J05Rik", "ENTREZ:83480", "FKSG32", "HGNC:25461", "MIM:616283", "MRT55", "NEDMIGS", "NM_001271985", "NM_031307", "NP_001258914", "NP_112597", "PUS3", "XM_005271688", "XP_005271745", "pseudouridine synthase 3"]	NCBI:txid9606
ENSG00000110063	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	["ARS", "DCPS", "DCS1", "ENTREZ:28960", "HGNC:29812", "HINT-5", "HINT5", "HSL1", "HSPC015", "MIM:610534", "NM_001350236", "NM_014026", "NP_001337165", "NP_054745", "decapping enzyme", "scavenger"]	NCBI:txid9606
ENSG00000110074	FOXRED1	FAD dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26927]	["ENTREZ:55572", "FAD dependent oxidoreductase domain containing 1", "FOXRED1", "FP634", "H17", "HGNC:26927", "MC1DN19", "MIM:613622", "NM_017547", "NP_060017", "NR_037647", "NR_037648", "XM_006718879", "XM_006718881", "XM_011542895", "XM_011542896", "XM_017018000", "XM_017018001", "XM_017018002", "XM_017018003", "XM_017018004", "XM_017018005", "XM_017018006", "XP_006718942", "XP_006718944", "XP_011541197", "XP_011541198", "XP_016873489", "XP_016873490", "XP_016873491", "XP_016873492", "XP_016873493", "XP_016873494", "XP_016873495"]	NCBI:txid9606
ENSG00000110075	PPP6R3	protein phosphatase 6 regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:1173]	["C11orf23", "ENTREZ:55291", "HGNC:1173", "MIM:610879", "NM_001164160", "NM_001164161", "NM_001164162", "NM_001164163", "NM_001164164", "NM_001352347", "NM_001352348", "NM_001352350", "NM_001352351", "NM_001352352", "NM_001352353", "NM_001352354", "NM_001352355", "NM_001352356", "NM_001352357", "NM_001352358", "NM_001352359", "NM_001352360", "NM_001352361", "NM_001352362", "NM_001352363", "NM_001352364", "NM_001352365", "NM_001352366", "NM_001352368", "NM_001352369", "NM_001352370", "NM_001352371", "NM_001352372", "NM_001352373", "NM_001352374", "NM_001352375", "NM_001352376", "NM_001352377", "NM_001352378", "NM_001352379", "NM_001352380", "NM_018312", "NP_001157632", "NP_001157633", "NP_001157634", "NP_001157635", "NP_001157636", "NP_001339276", "NP_001339277", "NP_001339279", "NP_001339280", "NP_001339281", "NP_001339282", "NP_001339283", "NP_001339284", "NP_001339285", "NP_001339286", "NP_001339287", "NP_001339288", "NP_001339289", "NP_001339290", "NP_001339291", "NP_001339292", "NP_001339293", "NP_001339294", "NP_001339295", "NP_001339297", "NP_001339298", "NP_001339299", "NP_001339300", "NP_001339301", "NP_001339302", "NP_001339303", "NP_001339304", "NP_001339305", "NP_001339306", "NP_001339307", "NP_001339308", "NP_001339309", "NP_060782", "NR_147965", "NR_147966", "NR_147967", "NR_147968", "NR_147969", "NR_147970", "NR_147971", "PP6R3", "PPP6R3", "SAP190", "SAPL", "SAPLa", "SAPS3", "XM_006718608", "XM_006718612", "XM_006718614", "XM_006718621", "XM_006718622", "XM_006718623", "XM_006718624", "XM_006718627", "XM_011545137", "XM_011545138", "XM_011545139", "XM_011545141", "XM_017017969", "XM_017017974", "XM_017017977", "XM_024448601", "XM_024448602", "XM_024448603", "XP_006718671", "XP_006718675", "XP_006718677", "XP_006718684", "XP_006718685", "XP_006718686", "XP_006718687", "XP_006718690", "XP_011543439", "XP_011543440", "XP_011543441", "XP_011543443", "XP_016873458", "XP_016873463", "XP_016873466", "XP_024304369", "XP_024304370", "XP_024304371", "protein phosphatase 6 regulatory subunit 3"]	NCBI:txid9606
ENSG00000110090	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	["CPT1", "CPT1-L", "CPT1A", "ENTREZ:1374", "HGNC:2328", "L-CPT1", "MIM:600528", "NM_001031847", "NM_001876", "NP_001027017", "NP_001867", "XM_005273762", "XM_005273763", "XM_017017220", "XP_005273819", "XP_005273820", "XP_016872709", "carnitine palmitoyltransferase 1A"]	NCBI:txid9606
ENSG00000110092	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	["BCL1", "CCND1", "D11S287E", "ENTREZ:595", "HGNC:1582", "MIM:168461", "NM_053056", "NP_444284", "PRAD1", "U21B31", "cyclin D1"]	NCBI:txid9606
ENSG00000110203	FOLR3	folate receptor gamma [Source:HGNC Symbol;Acc:HGNC:3795]	["ENTREZ:2352", "FOLR3", "FR-G", "FR-gamma", "FRgamma", "HGNC:3795", "MIM:602469", "NM_000804", "NM_001318045", "NP_000795", "NP_001304974", "XM_011544876", "XP_011543178", "folate receptor gamma", "gamma-hFR"]	NCBI:txid9606
ENSG00000110218	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	["ENTREZ:24145", "HGNC:8599", "MIM:608420", "MRS1", "NM_015368", "NP_056183", "OOMD7", "PANX1", "PX1", "UNQ2529", "XM_011542734", "XM_017017464", "XP_011541036", "XP_016872953", "pannexin 1"]	NCBI:txid9606
ENSG00000110243	APOA5	apolipoprotein A5 [Source:HGNC Symbol;Acc:HGNC:17288]	["APOA5", "APOAV", "ENTREZ:116519", "HGNC:17288", "MIM:606368", "NM_001166598", "NM_001371904", "NM_052968", "NP_001160070", "NP_001358833", "NP_443200", "RAP3", "apolipoprotein A5"]	NCBI:txid9606
ENSG00000110244	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	["APOA4", "ENTREZ:337", "HGNC:602", "MIM:107690", "NM_000482", "NP_000473", "apolipoprotein A4"]	NCBI:txid9606
ENSG00000110245	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	["APOC3", "APOCIII", "ENTREZ:345", "HGNC:610", "MIM:107720", "NM_000040", "NP_000031", "apolipoprotein C3"]	NCBI:txid9606
ENSG00000110274	CEP164	centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]	["CEP164", "ENTREZ:22897", "HGNC:29182", "MIM:614848", "NM_001271933", "NM_014956", "NPHP15", "NP_001258862", "NP_055771", "XM_005271453", "XM_005271456", "XM_005271457", "XM_006718788", "XM_006718794", "XM_011542674", "XM_011542690", "XM_017017364", "XM_017017365", "XM_017017366", "XM_017017367", "XM_017017368", "XM_017017369", "XM_017017370", "XM_017017371", "XM_017017372", "XM_017017373", "XM_017017374", "XM_017017375", "XM_017017376", "XM_017017377", "XM_017017378", "XM_017017379", "XM_017017380", "XM_017017381", "XM_017017382", "XM_017017383", "XM_017017384", "XM_017017385", "XM_017017386", "XP_005271510", "XP_005271513", "XP_005271514", "XP_006718851", "XP_006718857", "XP_011540976", "XP_011540992", "XP_016872853", "XP_016872854", "XP_016872855", "XP_016872856", "XP_016872857", "XP_016872858", "XP_016872859", "XP_016872860", "XP_016872861", "XP_016872862", "XP_016872863", "XP_016872864", "XP_016872865", "XP_016872866", "XP_016872867", "XP_016872868", "XP_016872869", "XP_016872870", "XP_016872871", "XP_016872872", "XP_016872873", "XP_016872874", "XP_016872875", "XR_001747793", "XR_001747794", "XR_002957132", "XR_002957133", "XR_428971", "centrosomal protein 164"]	NCBI:txid9606
ENSG00000110321	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	["AAG1", "DAP5", "EIF4G2", "ENTREZ:1982", "HGNC:3297", "MIM:602325", "NAT1", "NM_001042559", "NM_001172705", "NM_001418", "NP_001036024", "NP_001166176", "NP_001409", "P97", "eukaryotic translation initiation factor 4 gamma 2"]	NCBI:txid9606
ENSG00000110324	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	["CD210", "CD210a", "CDW210A", "ENTREZ:3587", "HGNC:5964", "HIL-10R", "IL-10R1", "IL10R", "IL10RA", "MIM:146933", "NM_001558", "NP_001549", "NR_026691", "XM_024448493", "XP_024304261", "interleukin 10 receptor subunit alpha"]	NCBI:txid9606
ENSG00000110367	DDX6	DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]	["DDX6", "DEAD-box helicase 6", "ENTREZ:1656", "HGNC:2747", "HLR2", "IDDILF", "MIM:600326", "NM_001257191", "NM_004397", "NP_001244120", "NP_004388", "P54", "RCK", "Rck/p54", "XM_005271417", "XM_011542644", "XM_011542645", "XM_017017251", "XM_024448377", "XP_005271474", "XP_011540946", "XP_011540947", "XP_016872740", "XP_024304145"]	NCBI:txid9606
ENSG00000110395	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	["C-CBL", "CBL", "CBL2", "Cbl proto-oncogene", "ENTREZ:867", "FRA11B", "HGNC:1541", "MIM:165360", "NM_005188", "NP_005179", "NSLL", "RNF55"]	NCBI:txid9606
ENSG00000110400	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	["CD111", "CLPED1", "ED4", "ENTREZ:5818", "HGNC:9706", "HIgR", "HV1S", "HVEC", "MIM:600644", "NECTIN1", "NM_002855", "NM_032767", "NM_203285", "NM_203286", "NP_002846", "NP_976030", "NP_976031", "OFC7", "PRR", "PRR1", "PVRL1", "PVRR", "PVRR1", "SK-12", "nectin cell adhesion molecule 1", "nectin-1"]	NCBI:txid9606
ENSG00000110422	HIPK3	homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]	["DYRK6", "ENTREZ:10114", "FIST3", "HGNC:4915", "HIPK3", "MIM:604424", "NM_001048200", "NM_001278162", "NM_001278163", "NM_005734", "NP_001041665", "NP_001265091", "NP_001265092", "NP_005725", "PKY", "XM_005252729", "XM_017017076", "XP_005252786", "XP_016872565", "YAK1", "homeodomain interacting protein kinase 3"]	NCBI:txid9606
